sample,expID,CollectionID,SideID,site_name,type,lat,long,trench,province,rock_type,new_water_type,alt,temp,ph,spc,sal,do,orp,alk,fe2,si,dic,dic_d13,d18o,d2h,co2,s,he,h2,o2,ar,n2,ch4,co,ch4_d13,co2_d13,ng_phase,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,na,nh4,k,mg,ca,cl,no2,br,no3,po4,so4,h2s,V,Mn,Fe,Co,Ni,Cu,Mo,W,Zn
CR19_GU_S,CR19,gu190718,GU,guarumo,S,10.756286,-85.316214,NA,NA,NA,Volcanic,NA,38.2,5.26,5.1435,0,NA,NA,200,NA,NA,NA,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.906,-0.041,7.202,14.563,38.055,1.998,NA,NA,NA,NA,81.045,NA,,,,,,,,,
CR19_LP_F,CR19,lp190617,LP,las_pailas,F,10.77183,-85.343256,NA,NA,NA,Volcanic,NA,91,1.5,5.1435,0,NA,NA,0,NA,NA,NA,-3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.311,NA,2.121,5.667,10.851,0.351,NA,NA,NA,NA,1229.124,NA,,,,,,,,,
CR19_LR_S,CR19,lr190628,LR,la_lecheria,S,10.003062,-83.83096,NA,NA,NA,NA,NA,35.2,4.5,7.87686,2,NA,NA,200,NA,NA,NA,-5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.754,0.099,10.177,82.946,380.003,27.496,NA,NA,NA,NA,1331.2,NA,,,,,,,,,
CR19_RCA_F,CR19,rc_a190612,RC_A,rio_cuarto,F,10.355752,-84.213333,NA,NA,NA,Mature,NA,NA,6.49,7.19352,1.5,NA,NA,200,NA,NA,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.323,11.738,4.011,6.39,17.356,4.155,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR19_RCB_F,CR19,rc_b190612,RC_B,rio_cuarto,F,10.355752,-84.213333,NA,NA,NA,Mature,NA,NA,7.06,7.19352,1.5,NA,NA,180,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.736,8.458,2.843,5.902,16.118,1.495,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR19_RCC_F,CR19,rc_c190612,RC_C,rio_cuarto,F,10.355752,-84.213333,NA,NA,NA,Mature,NA,NA,8.1,7.19352,1.5,NA,NA,400,NA,NA,NA,-7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.169,NA,1.996,4.816,13.773,1.634,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR19_RCD_F,CR19,rc190801,RC_D,rio_cuarto,F,10.355752,-84.213333,NA,NA,NA,Mature,NA,28.5,6.57,7.19352,1.5,NA,NA,300,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,14.972,4.036,6.356,17.536,1.753,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR19_RCF_F,CR19,rc190801,RC_F,rio_cuarto,F,10.355752,-84.213333,NA,NA,NA,Mature,NA,31.5,7.32,7.19352,1.5,NA,NA,300,NA,NA,NA,-8.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.172,NA,2.379,4.946,13.865,1.647,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR19_SA_F,CR19,sa190716,SA,sensorial_santuarium,F,10.86416,85.32532,NA,NA,NA,Volcanic,NA,31.8,4.13,7.87686,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.198,0.317,15.15,91.985,198.545,486.83,NA,1.253,0.039,NA,581.494,NA,,,,,,,,,
CR19_SG_F,CR19,sg190719,SG,the_springs,F,10.519083,-84.68817,NA,NA,NA,Mature,NA,36.1,6.13,5.82684,0.5,NA,NA,600,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.159,0.584,24.1,46.491,34.337,332.319,NA,1.01,NA,NA,NA,NA,,,,,,,,,
CR19_SG_S,CR19,sg190719,SG,the_springs,S,10.519083,-84.68817,NA,NA,NA,Mature,NA,36.1,6.13,5.82684,0.5,NA,NA,600,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.159,0.584,24.1,46.491,34.337,332.319,NA,1.01,NA,NA,NA,NA,,,,,,,,,
CR19_SL_S,CR19,sl190717,SL,salitral_lilas,S,10.803713,-85.468024,NA,NA,NA,NA,NA,55.3,6.36,10.61022,4,NA,NA,400,NA,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1604.223,NA,157.22,17.205,172.042,2843.145,NA,8.628,NA,NA,49.988,NA,,,,,,,,,
Fenix21_BA_F,FENIX21,BA211229,BA,bagnone,F,43.181228,10.832435,NA,NA,NA,NA,346,64,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101,9.206,NA,NA,19.148,NA,NA,NA,NA,22.084,NA,,,,,,,,,
Fenix21_BA_S,FENIX21,BA211229,BA,bagnone,S,43.181228,10.832435,NA,NA,NA,NA,346,64,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101,9.206,NA,NA,19.148,NA,NA,NA,NA,22.084,NA,,,,,,,,,
Fenix21_CA_F,FENIX21,CA211015,CA,acqua_cantani,F,40.651412,15.229173,NA,NA,NA,Peripheral,159,17.48,6.34,2.757,1.44,NA,NA,1200,NA,NA,1464,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.426,0.623,10.974,49.476,334.673,89.761,NA,1.059,NA,NA,29.12,NA,2.597,13.565,62.283,0.019,1.569,,,,
Fenix21_CF_F,FENIX21,CF210924,CF,terme_caracciolo_forte,F,41.314806,13.891273,NA,NA,NA,Peripheral,62,53,5.36,3.067,1.56,NA,4.26,1400,NA,NA,1708,6.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.501,4.362,61.837,134.881,248.024,121.69,NA,0.75,NA,NA,454.649,NA,,13.946,17.143,0.014,5.662,,,1.166,
